2020-11-11 - 16:37:58 INFO:  Accuracy: 0.4840908944606781 durch die Hyperparameter -> {'epochs': 2, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-11 - 16:45:55 INFO:  Accuracy: 0.8068181872367859 durch die Hyperparameter -> {'epochs': 10, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-11 - 16:45:55 INFO:  Accuracy: 0.8068181872367859 durch die Hyperparameter -> {'epochs': 10, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-11 - 16:47:10 INFO:  Accuracy: 0.8295454382896423 durch die Hyperparameter -> {'epochs': 8, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.559022969007492 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 25, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.559022969007492 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 25, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7550893902778626 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7550893902778626 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7131476402282715 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7131476402282715 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.5787444114685059 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.5787444114685059 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7581063985824585 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 10, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7581063985824585 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 10, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6534077048301696 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 10, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6534077048301696 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 10, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.4981896162033081 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 10, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.4981896162033081 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 10, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.8311623454093933 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 25, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.8311623454093933 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 25, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6547996640205384 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 25, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6547996640205384 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 25, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6267545223236084 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 25, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6267545223236084 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 25, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7698520541191101 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 50, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7698520541191101 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 50, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.744507622718811 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 50, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.744507622718811 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 50, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.623425030708313 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 50, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.623425030708313 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 50, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:38 INFO: [GridSearch Test] Accuracy: 0.8121212124824524 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 25, 'optimizer': 'Adam'}
2020-11-15 - 18:29:38 INFO: [GridSearch Test] Accuracy: 0.8121212124824524 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 25, 'optimizer': 'Adam'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.6312224864959717 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 1, 'optimizer': 'Adam'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4918099492788315 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 1, 'optimizer': 'SGD'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.5520789325237274 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 1, 'optimizer': 'Adadelta'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4873654991388321 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 2, 'optimizer': 'Adam'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.5115239918231964 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 2, 'optimizer': 'SGD'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4968099296092987 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 2, 'optimizer': 'Adadelta'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4873654991388321 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 5, 'optimizer': 'Adam'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4873654991388321 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 5, 'optimizer': 'SGD'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.5126344859600067 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 5, 'optimizer': 'Adadelta'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4873654991388321 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 1, 'optimizer': 'Adam'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.5031900554895401 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 1, 'optimizer': 'SGD'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.5031900554895401 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 1, 'optimizer': 'Adadelta'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4873654991388321 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 2, 'optimizer': 'Adam'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4873654991388321 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 2, 'optimizer': 'SGD'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4968099296092987 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 2, 'optimizer': 'Adadelta'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4873654991388321 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 5, 'optimizer': 'Adam'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4968099296092987 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 5, 'optimizer': 'SGD'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.5126344859600067 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 5, 'optimizer': 'Adadelta'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4873654991388321 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 1, 'optimizer': 'Adam'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.5123567283153534 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 1, 'optimizer': 'SGD'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.5501142740249634 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 1, 'optimizer': 'Adadelta'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.5106988251209259 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 2, 'optimizer': 'Adam'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4873654991388321 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 2, 'optimizer': 'SGD'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4940321743488312 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 2, 'optimizer': 'Adadelta'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4645877182483673 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 5, 'optimizer': 'Adam'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4873654991388321 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 5, 'optimizer': 'SGD'}
2020-11-16 - 10:48:16 INFO: [GridSearch Validation] Accuracy: 0.4734843224287033 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 5, 'optimizer': 'Adadelta'}
2020-11-16 - 10:48:27 INFO: [GridSearch Test] Accuracy: 0.8121212124824524 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 1, 'optimizer': 'Adam'}
2020-11-16 - 11:05:39 INFO: [Normal Test] Accuracy: 0.8325757384300232 durch die Hyperparameter -> {'epochs': 8, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'Adam', 'learning_rate': 0.001, 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-16 - 11:06:36 INFO: [Normal Test] Accuracy: 0.8151515126228333 durch die Hyperparameter -> {'epochs': 8, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'Adam', 'learning_rate': 0.001, 'loss_function': 'sparse_categorical_crossentropy'}
2021-07-16 - 14:14:24 INFO: [Normal Test] Accuracy: 0.8287878632545471 durch die Hyperparameter -> {'epochs': 8, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'Adam', 'learning_rate': 0.001, 'loss_function': 'sparse_categorical_crossentropy'}
2021-07-16 - 14:29:09 INFO: [Normal Test] Accuracy: 0.8984848260879517 durch die Hyperparameter -> {'epochs': 50, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'Adam', 'learning_rate': 0.001, 'loss_function': 'sparse_categorical_crossentropy'}
2021-07-16 - 14:34:03 INFO: [Normal Test] Accuracy: 0.9371212124824524 durch die Hyperparameter -> {'epochs': 80, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'Adam', 'learning_rate': 0.001, 'loss_function': 'sparse_categorical_crossentropy'}
2021-07-16 - 14:39:45 INFO: [Normal Test] Accuracy: 0.9696969985961914 durch die Hyperparameter -> {'epochs': 500, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'Adam', 'learning_rate': 0.001, 'loss_function': 'sparse_categorical_crossentropy'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.516530305147171 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 1, 'optimizer': 'Adam'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 1, 'optimizer': 'SGD'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.49652524292469025 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 1, 'optimizer': 'Adadelta'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 2, 'optimizer': 'Adam'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 2, 'optimizer': 'SGD'}
